type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Raising Dion,"October 4, 2019",2019,TV-PG,"Kids' TV, TV Action & Adventure, TV Dramas",Netflix,1
TV Show,Seis Manos,"October 3, 2019",2019,TV-MA,"Anime Series, Crime TV Shows",Netflix,1
TV Show,Living Undocumented,"October 2, 2019",2019,TV-MA,Docuseries,Netflix,1
TV Show,Cheese in the Trap,"October 1, 2019",2016,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Chicago Typewriter,"October 1, 2019",2017,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,College Romance,"October 1, 2019",2018,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,1
TV Show,Engineering Girls,"October 1, 2019",2018,TV-MA,"International TV Shows, TV Comedies",Netflix,1
TV Show,Girls Hostel,"October 1, 2019",2018,TV-MA,"International TV Shows, TV Comedies, TV Dramas",Netflix,1
TV Show,Inmates,"October 1, 2019",2017,TV-MA,"International TV Shows, TV Comedies",Netflix,1
TV Show,Miniforce X,"October 1, 2019",2018,TV-Y7,"Kids' TV, Korean TV Shows",Netflix,1
TV Show,The K2,"October 1, 2019",2016,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,The Liar and His Lover,"October 1, 2019",2017,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Bard of Blood,"September 27, 2019",2019,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",Netflix,1
TV Show,The Inmate,"September 26, 2019",2018,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Vagabond,"September 21, 2019",2019,TV-MA,"International TV Shows, Korean TV Shows, TV Action & Adventure",Netflix,1
TV Show,Criminal: France,"September 20, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,1
TV Show,Criminal: Germany,"September 20, 2019",2019,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,1
TV Show,Criminal: Spain,"September 20, 2019",2019,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,1
TV Show,Inside Bill's Brain: Decoding Bill Gates,"September 20, 2019",2019,TV-14,"Docuseries, Science & Nature TV",Netflix,1
TV Show,The Hockey Girls,"September 20, 2019",2019,TV-MA,"International TV Shows, TV Comedies, TV Dramas",Netflix,1
TV Show,When the Camellia Blooms,"September 18, 2019",2019,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Surviving R. Kelly,"September 15, 2019",2019,TV-MA,"Crime TV Shows, Docuseries",Netflix,1
TV Show,Kabaneri of the Iron Fortress: The Battle of Unato,"September 13, 2019",2019,TV-MA,"Anime Series, International TV Shows, TV Horror",Netflix,1
TV Show,Marianne,"September 13, 2019",2019,TV-MA,"International TV Shows, TV Dramas, TV Horror",Netflix,1
TV Show,Top Boy,"September 13, 2019",2019,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,1
TV Show,Unbelievable,"September 13, 2019",2019,TV-MA,"Crime TV Shows, TV Dramas",Netflix,1
TV Show,The I-Land,"September 12, 2019",2019,TV-MA,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix,1
TV Show,"The Mind, Explained","September 12, 2019",2019,TV-14,"Docuseries, Science & Nature TV",Netflix,1
TV Show,The Spy,"September 6, 2019",2019,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",Netflix,1
TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,"September 1, 2019",2016,TV-Y,Kids' TV,Netflix,1
TV Show,Serial Killer with Piers Morgan,"September 1, 2019",2018,TV-14,"British TV Shows, Crime TV Shows, Docuseries",Netflix,1
TV Show,Luo Bao Bei,"August 31, 2019",2018,TV-Y,"British TV Shows, Kids' TV",Netflix,1
TV Show,Styling Hollywood,"August 30, 2019",2019,TV-14,Reality TV,Netflix,1
TV Show,The Dark Crystal: Age of Resistance,"August 30, 2019",2019,TV-PG,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix,1
TV Show,The Good Bandit,"August 30, 2019",2018,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Hyperdrive,"August 21, 2019",2019,TV-PG,Reality TV,Netflix,1
TV Show,45 rpm,"August 16, 2019",2019,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Apache: The Life of Carlos Tevez,"August 16, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Better Than Us,"August 16, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,1
TV Show,Diagnosis,"August 16, 2019",2019,TV-14,"Docuseries, Science & Nature TV",Netflix,1
TV Show,Green Frontier,"August 16, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,The King's Avatar,"August 16, 2019",2019,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",Netflix,1
TV Show,Victim Number 8,"August 16, 2019",2018,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Netflix,1
TV Show,Cannon Busters,"August 15, 2019",2019,TV-MA,"Anime Series, International TV Shows",Netflix,1
TV Show,Til Death Do Us Part,"August 15, 2019",2019,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",Netflix,1
TV Show,Happy Jail,"August 14, 2019",2019,TV-MA,"Crime TV Shows, Docuseries",Netflix,1
TV Show,DC Super Hero Girls,"August 12, 2019",2019,TV-Y7,Kids' TV,Netflix,1
TV Show,Sintonia,"August 9, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,1
TV Show,The Family,"August 9, 2019",2019,TV-14,Docuseries,Netflix,1
TV Show,Bad Guys,"August 8, 2019",2014,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows",Netflix,1
TV Show,Dollar,"August 8, 2019",2019,TV-MA,"International TV Shows, TV Dramas",Netflix,1
TV Show,Let's Eat 2,"August 8, 2019",2015,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Let’s Eat,"August 8, 2019",2013,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Misaeng,"August 8, 2019",2014,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,1
TV Show,Oh My Ghost,"August 8, 2019",2015,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Reply 1994,"August 8, 2019",2014,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Reply 1997,"August 8, 2019",2012,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
