type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Star Wars Vehicle Flythroughs,"May 4, 2021",2021,TV-G,"Anthology, Science Fiction",DisneyPlus,1
TV Show,The Bad Batch,"May 4, 2021",2021,TV-PG,"Action-Adventure, Animation, Science Fiction",DisneyPlus,1
TV Show,Spider-Man,"May 3, 2021",1994,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,5
TV Show,Adventures in Wonderland,"April 30, 2021",1996,TV-G,"Fantasy, Musical",DisneyPlus,1
TV Show,DuckTales,"April 30, 2021",2017,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,3
TV Show,Liv and Maddie,"April 23, 2021",2013,TV-G,"Comedy, Coming of Age, Kids",DisneyPlus,4
TV Show,Secrets of the Whales,"April 22, 2021",2021,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Big Shot,"April 16, 2021",2021,TV-PG,"Comedy, Drama, Sports",DisneyPlus,1
TV Show,Earth Moods,"April 16, 2021",2021,TV-G,"Animals & Nature, Anthology",DisneyPlus,1
TV Show,Primal Survivor,"April 16, 2021",2014,TV-PG,"Docuseries, Reality, Survival",DisneyPlus,5
TV Show,Future-Worm!,"April 9, 2021",2016,TV-Y7,"Family, Kids",DisneyPlus,1
TV Show,Kick Buttowski: Suburban Daredevil,"April 9, 2021",2010,TV-Y7,"Action-Adventure, Animation",DisneyPlus,2
TV Show,Higglytown Heroes,"April 2, 2021",2004,TV-Y,"Animation, Kids, Musical",DisneyPlus,2
TV Show,Made in a Day,"April 2, 2021",2020,TV-PG,Reality,DisneyPlus,1
TV Show,Secrets Of The Zoo,"April 2, 2021",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,4
TV Show,Star Wars Vintage: Clone Wars 2D Micro-Series,"April 2, 2021",2021,TV-Y7-FV,Series,DisneyPlus,1
TV Show,Star Wars: Ewoks,"April 2, 2021",1985,TV-Y7-FV,"Action-Adventure, Animation, Fantasy",DisneyPlus,2
TV Show,Walk the Prank,"April 2, 2021",2016,TV-Y7,"Comedy, Reality",DisneyPlus,3
TV Show,Pickle and Peanut,"March 26, 2021",2015,TV-Y7,Comedy,DisneyPlus,2
TV Show,The Mighty Ducks: Game Changers,"March 26, 2021",2021,TV-PG,"Comedy, Drama, Sports",DisneyPlus,1
TV Show,Disney Big Hero 6 The Series,"March 19, 2021",2017,TV-G,"Action-Adventure, Animation, Kids",DisneyPlus,3
TV Show,Mexico Untamed,"March 19, 2021",2018,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,The Falcon and The Winter Soldier,"March 19, 2021",2021,TV-14,"Action-Adventure, Buddy, Science Fiction",DisneyPlus,1
TV Show,American Dragon: Jake Long,"February 26, 2021",2004,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Car SOS,"February 26, 2021",2012,TV-PG,"Buddy, Comedy, Docuseries",DisneyPlus,8
TV Show,Disney Channel Games 2008,"February 26, 2021",2008,TV-G,"Game Show / Competition, Sports, Variety",DisneyPlus,1
TV Show,Disney Roll It Back (Shorts),"February 26, 2021",2019,TV-Y7,"Comedy, Docuseries, Family",DisneyPlus,1
TV Show,Dog With a Blog,"February 26, 2021",2012,TV-G,"Comedy, Fantasy",DisneyPlus,3
TV Show,Mickey Go Local,"February 26, 2021",2019,TV-G,"Animation, Comedy, Kids",DisneyPlus,1
TV Show,Pair of Kings,"February 26, 2021",2010,TV-Y7,"Action-Adventure, Comedy, Coming of Age",DisneyPlus,3
TV Show,Secrets of Sulphur Springs,"February 26, 2021",2021,TV-PG,"Family, Fantasy, Mystery",DisneyPlus,1
TV Show,The Muppet Show,"February 19, 2021",1976,TV-PG,"Comedy, Family, Variety",DisneyPlus,5
TV Show,Marvel Battleworld: Mystery of the Thanostones,"February 12, 2021",2020,TV-Y7-FV,"Action-Adventure, Animation, Fantasy",DisneyPlus,1
TV Show,Wicked Tuna: Outer Banks,"February 5, 2021",2013,TV-14,"Animals & Nature, Docuseries, Family",DisneyPlus,7
TV Show,Dinosaurs,"January 29, 2021",1991,TV-PG,"Comedy, Family",DisneyPlus,4
TV Show,Pixar Popcorn,"January 22, 2021",2021,TV-PG,"Animation, Anthology, Family",DisneyPlus,1
TV Show,Elena of Avalor,"January 15, 2021",2015,TV-Y7,"Action-Adventure, Animation, Fantasy",DisneyPlus,3
TV Show,WandaVision,"January 15, 2021",2021,TV-14,"Drama, Fantasy, Mystery",DisneyPlus,1
TV Show,Disney Fam Jam,"January 8, 2021",2020,TV-G,"Family, Game Show / Competition, Reality",DisneyPlus,1
TV Show,Marvel Studios LEGENDS,"January 8, 2021",2021,TV-14,"Action-Adventure, Docuseries, Fantasy",DisneyPlus,1
TV Show,Cosmos: Possible Worlds,"December 25, 2020",2020,TV-14,"Action-Adventure, Docuseries, Family",DisneyPlus,1
TV Show,Disney Gallery / Star Wars: The Mandalorian,"December 25, 2020",2020,TV-PG,"Action-Adventure, Docuseries, Family",DisneyPlus,2
TV Show,Disney Parks Sunrise Series,"December 18, 2020",2021,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,On Pointe,"December 18, 2020",2020,TV-PG,"Docuseries, Family",DisneyPlus,1
TV Show,Wild Nordic,"December 18, 2020",2019,TV-PG,"Animals & Nature, Docuseries, Reality",DisneyPlus,1
TV Show,Once Upon a Time in Wonderland,"November 27, 2020",2013,TV-PG,"Action-Adventure, Fantasy, Soap Opera / Melodrama",DisneyPlus,1
TV Show,Party Animals,"November 27, 2020",2016,TV-G,"Animals & Nature, Kids, Music",DisneyPlus,1
TV Show,Bia,"November 20, 2020",2019,TV-G,"Coming of Age, Drama, Music",DisneyPlus,1
TV Show,Marvel's 616,"November 20, 2020",2020,TV-14,"Anthology, Docuseries",DisneyPlus,1
TV Show,The Wonderful World of Mickey Mouse,"November 18, 2020",2020,TV-G,"Action-Adventure, Animation, Anthology",DisneyPlus,1
TV Show,Inside Pixar,"November 13, 2020",2020,TV-PG,"Docuseries, Family",DisneyPlus,1
TV Show,Fancy Nancy (Shorts),"November 6, 2020",2019,TV-Y,"Animation, Kids",DisneyPlus,1
TV Show,Goldie & Bear,"November 6, 2020",2015,TV-Y,"Action-Adventure, Animation, Buddy",DisneyPlus,2
TV Show,The Mandalorian,"October 30, 2020",2019,TV-14,"Action-Adventure, Family, Science Fiction",DisneyPlus,2
TV Show,X-Ray Earth,"October 30, 2020",2020,TV-PG,"Animals & Nature, Docuseries, Reality",DisneyPlus,1
TV Show,Gathering Storm,"October 23, 2020",2020,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,India From Above,"October 23, 2020",2019,TV-PG,"Docuseries, Reality",DisneyPlus,1
TV Show,Marvel Super Hero Adventures,"October 23, 2020",2017,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,4
TV Show,Meet The Chimps,"October 16, 2020",2020,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,The Rocketeer,"October 16, 2020",2019,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,The Right Stuff,"October 9, 2020",2020,TV-14,"Drama, Historical",DisneyPlus,1
TV Show,Magic of Disney's Animal Kingdom,"September 25, 2020",2020,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Wild Central America,"September 25, 2020",2020,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Ancient China from Above,"September 18, 2020",2020,TV-14,"Docuseries, Historical",DisneyPlus,1
TV Show,Becoming,"September 18, 2020",2020,TV-PG,"Anthology, Docuseries, Family",DisneyPlus,1
TV Show,Coop & Cami Ask The World,"September 18, 2020",2018,TV-G,"Comedy, Family, Kids",DisneyPlus,2
TV Show,Europe from Above,"September 18, 2020",2019,TV-G,"Docuseries, Reality",DisneyPlus,1
TV Show,Kingdom of the Mummies,"September 18, 2020",2020,TV-14,"Docuseries, Historical, Reality",DisneyPlus,1
TV Show,Once Upon a Time,"September 18, 2020",2011,TV-PG,"Action-Adventure, Fantasy, Soap Opera / Melodrama",DisneyPlus,7
TV Show,Soy Luna,"September 18, 2020",2015,TV-G,"Comedy, Coming of Age, Drama",DisneyPlus,3
TV Show,Violetta,"September 18, 2020",2011,TV-G,"Coming of Age, Drama, Music",DisneyPlus,3
TV Show,Earth to Ned,"September 4, 2020",2020,TV-PG,"Comedy, Parody, Science Fiction",DisneyPlus,1
TV Show,"Weirdest, Bestest, Truest","August 21, 2020",2018,TV-G,"Animals & Nature, Kids, Variety",DisneyPlus,1
TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),"August 14, 2020",2020,TV-Y,"Animation, Kids, Music",DisneyPlus,1
