type,title,date_added,release_year,rating,duration_seasons,listed_in,streaming_platform
TV Show,HobbyKids Adventures by pocket.watch,"October 18, 2019",2019,TV-G,1,"Action, Adventure, Comedy",Hulu
TV Show,Looking for Alaska,"October 18, 2019",2019,TV-MA,1,"Drama, Romance, Teen",Hulu
TV Show,Pocket.watch EvanTubeHD Ultimate mishmash,"October 18, 2019",2018,TV-G,1,"Family, Kids",Hulu
TV Show,Pocket.watch HobbyKidsTV Ultimate mishmash,"October 18, 2019",2018,TV-G,2,Kids,Hulu
TV Show,The World Between Us,"October 15, 2019",2019,TV-14,1,"Crime, Drama, International",Hulu
TV Show,Sword Art Online -Alicization-,"October 12, 2019",2018,TV-MA,2,Anime,Hulu
TV Show,A New Leaf,"October 6, 2019",2019,TV-G,1,"Lifestyle & Culture, Reality",Hulu
TV Show,Consumer 101,"October 6, 2019",2018,TV-G,1,Lifestyle & Culture,Hulu
TV Show,The Champion Within,"October 6, 2019",2017,TV-PG,1,"Family, Reality, Sports",Hulu
TV Show,Vets Saving Pets,"October 6, 2019",2018,TV-G,1,"News, Reality, Science & Technology",Hulu
TV Show,We Never Learn: BOKUBEN,"October 5, 2019",2019,TV-14,2,"Anime, Comedy, Romance",Hulu
TV Show,Almost Family,"October 3, 2019",2019,TV-14,1,Drama,Hulu
TV Show,Biography: The Trump Dynasty,"October 1, 2019",2019,TV-14,1,Documentaries,Hulu
TV Show,Many Sides of Jane,"October 1, 2019",2019,TV-14,1,"Documentaries, Reality",Hulu
TV Show,OutDaughtered,"October 1, 2019",2016,TV-PG,1,"Documentaries, Reality",Hulu
TV Show,The Dead Files,"October 1, 2019",2013,TV-PG,2,"Lifestyle & Culture, Reality",Hulu
TV Show,The First 48 Presents: Homicide Squad Atlanta,"October 1, 2019",2019,TV-14,1,"Crime, Reality",Hulu
TV Show,Basketball Wives LA,"September 30, 2019",2011,TV-14,5,"Black Stories, Reality",Hulu
TV Show,The Hills,"September 30, 2019",2006,TV-PG,6,"Reality, Teen",Hulu
